,slang,formal,
1049,jpn,jepang,
1050,jrg,jarang,
1051,jrng,jarang,
1052,jt,juta,
1053,jubirnya,jubir,
1054,judulnye,judulnya,
1055,jungkirbalik,jungkir balik,
1056,jwb,jawab,
1057,jwbn,jawaban,
1058,jwbny,jawabannya,
1059,kabeh,semua,
1060,kacian,kasihan,
1061,kaga,tidak,
1062,kagak,tidak,
1063,kai,kau,
1064,kaka,kakak,
1065,kalahin,kalahkan,
1066,kale,kali,
1067,kalee,kali,
1068,kalo,kalau,
1069,kalok,kalau,
1070,kalu,kalau,
1071,kamiahok,kami ahok,
1072,kamiahokk,kami ahok,
1073,kamibukan,kami bukan,
1074,kamibukanahok,kami bukan ahok,
1075,kamikamukitadanmereka,kami kamu kita mereka,
1076,kamimanusia,kami manusia,
1077,kammi,kami,
1078,kampany,kampanye,
1079,kampenye,kampanye,
1080,kanapa,kenapa,
1081,kandangin,kandangkan,
1082,kapir,kafir,
1083,kapolritangkapahok,kapolri tangkap ahok,
1084,kaporli,kapolri,
1085,karna,karena,
1086,karo,sama,
1087,karoke,karaoke,
1088,kasalndukung,asal dukung,
1089,kasi,kasih,
1090,kasian,kasihan,
1091,kasusunya,kasusnya,
1092,katanya2,katanya katanya,
1093,kau,kamu,
1094,kaulahhh,kamulah,
1095,kawalkasusahok,kawal kasus ahok,
1096,kawall,kawal,
1097,kawalterus,kawal terus,
1098,kayanya,sepertinya,
1099,kbakaran,kebakaran,
1100,kbnykn,kebanyakan,
1101,kbr,kabar,
1102,kbtln,kebetulan,
1103,kbusukan,kebusukan,
1104,kbykn,kebanyakan,
1105,kdg,kadang,
1106,kdng,kadang,
1107,kdpan,ke depan,
1108,kdpn,ke depan,
1109,kebawa,terbawa,
1110,kebereraniammu,keberanianmu,
1111,kebhinekaan,kebinekaan,
1112,kebhinnekaan,kebinekaan,
1113,kebhinnekaannya,kebinekaannya,
1114,kebncian,kebencian,
1115,kebon,kebun,
1116,kecakepan,terlalu cakap,
1117,kedholiman,kezaliman,
1118,keepcalm,tetap tenang,
1119,kegeeran,terlalu gede rasa,
